Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1023134.0	242 Mbp	0.0	35-301	41.0	65.78456125232698	236.5500950999576	274	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013283_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1023134.0	243.1 Mbp	0.0	35-301	41.0	68.52546739706791	237.77535933709564	284	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1038465.0	248.5 Mbp	0.0	35-301	41.0	65.44091752541928	239.24195423052294	284	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013284_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1038465.0	250 Mbp	0.0	35-301	41.0	69.17741804882625	240.92578228442943	294	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	935932.0	221.8 Mbp	0.0	35-301	41.0	67.37093810461336	236.9323396357855	274	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013285_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	935932.0	223.3 Mbp	0.0	35-301	41.0	71.33370580470418	238.74258813674498	284	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	871845.0	217.1 Mbp	0.0	35-301	41.0	67.99587315464329	249.05069479093189	294	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013286_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	871845.0	218.3 Mbp	0.0	35-301	41.0	72.46223687706207	250.5032178885008	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	585771.0	158.7 Mbp	0.0	35-301	40.0	75.11407618609284	270.97403934301974	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013287_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	585771.0	159.2 Mbp	0.0	35-301	40.0	78.9406646250521	271.9350070249295	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	519027.0	141.6 Mbp	0.0	35-301	40.0	76.53290833774497	272.7964922826751	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013288_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	519027.0	142 Mbp	0.0	35-301	41.0	80.53922679475721	273.766469759762	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	680611.0	181 Mbp	0.0	35-301	41.0	70.63946931068388	265.8901619280323	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013289_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	680611.0	181.6 Mbp	0.0	35-301	41.0	75.86331571103786	267.06846421818045	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013290_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013290_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	813451.0	199.7 Mbp	0.0	35-301	41.0	73.01439470641398	245.62796898645402	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1007771.0	232.1 Mbp	0.0	35-301	41.0	67.60757919713295	230.30782340432498	274	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013291_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1007771.0	233.4 Mbp	0.0	35-301	41.0	70.84829350361433	231.75351543158118	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	439291.0	124.8 Mbp	0.0	35-301	40.0	78.13691048866504	284.07231197543314	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013292_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	439291.0	125.7 Mbp	0.0	35-301	41.0	82.07741029461751	286.27904737406413	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013293_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013293_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	996890.0	242.8 Mbp	0.0	35-301	41.0	66.65087146539285	243.55564104364575	284	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013294_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013294_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	987342.0	236.1 Mbp	0.0	35-301	41.0	72.90613567344644	239.27940318552234	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	679221.0	160.8 Mbp	0.0	35-301	41.0	73.44516559292124	236.79799873678817	284	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013295_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	679221.0	161.6 Mbp	0.0	35-301	41.0	76.270448567421	238.06626929968303	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	542486.0	131.1 Mbp	0.0	35-301	41.0	76.14979960472573	241.76328974388278	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013296_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	542486.0	131.8 Mbp	0.0	35-301	41.0	79.2563133102707	243.11339923979605	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	826101.0	187.2 Mbp	0.0	35-301	41.0	71.40733138387745	226.66977827166411	264	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013297_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	826101.0	191 Mbp	0.0	35-301	41.0	75.19738183701922	231.4302433963886	284	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	767186.0	170.8 Mbp	0.0	35-301	41.0	74.73064181003762	222.57007101276614	244	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013298_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	767186.0	175.5 Mbp	0.0	35-301	41.0	74.95823328022685	228.9742285443165	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	813172.0	180.5 Mbp	0.0	35-301	41.0	71.32409408308027	221.9554792835956	254	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013299_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	813172.0	184.1 Mbp	0.0	35-301	41.0	75.40252086932962	226.57420816260276	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	685079.0	163.9 Mbp	0.0	35-301	41.0	75.93841116536704	239.2402795881935	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013300_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	685079.0	167.8 Mbp	0.0	35-301	41.0	76.13619026657025	245.18177538648828	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	745122.0	169.4 Mbp	0.0	35-301	40.0	73.02895234503363	227.4105193511935	264	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013301_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	745122.0	173 Mbp	0.0	35-301	41.0	76.84856603960648	232.4154507583993	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	784516.0	172.2 Mbp	0.0	35-301	40.0	72.57011138648225	219.5321669666393	244	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013302_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	784516.0	176.2 Mbp	0.0	35-301	41.0	76.31179188028376	224.7847596479868	264	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	769389.0	174.4 Mbp	0.0	35-301	40.0	72.21164570162296	226.7191771652571	264	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013303_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	769389.0	178.5 Mbp	0.0	35-301	41.0	76.45321503854558	232.12892632985395	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	979260.0	217.4 Mbp	0.0	35-301	41.0	68.12010366371129	222.0279272103425	254	pass	pass	pass	pass	fail	warn	pass	warn	warn	warn	pass
SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013304_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	979260.0	221.7 Mbp	0.0	35-301	41.0	72.13490363665814	226.50595449625226	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013305_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013305_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	497367.0	123.6 Mbp	0.0	35-301	41.0	79.0046746936969	248.44847265701182	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013306_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013306_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	724684.0	161.4 Mbp	0.0	35-301	41.0	75.6801330524061	222.9465711951692	264	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	558224.0	143.4 Mbp	0.0	35-301	41.0	76.37773646265322	256.87367168018574	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013307_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	558224.0	145 Mbp	0.0	35-301	41.0	80.3790353977202	259.94636382527443	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	634978.0	151 Mbp	0.0	35-301	40.0	76.91981607448552	237.8259845222984	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013308_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	634978.0	154.6 Mbp	0.0	35-301	41.0	77.46276429347179	243.70241173709957	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	622819.0	148.6 Mbp	0.0	35-301	41.0	75.95945962247414	238.61800378601166	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013309_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	622819.0	152.8 Mbp	0.0	35-301	41.0	77.29233405049071	245.5316753342464	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	621911.0	141.3 Mbp	0.0	35-301	41.0	77.37795517988077	227.2515030285684	254	pass	fail	fail	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013310_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	621911.0	145.6 Mbp	0.0	35-301	41.0	78.06366618209584	234.38672494938987	294	pass	fail	warn	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	634349.0	149.1 Mbp	0.0	35-301	41.0	77.2721663786849	235.07982593178204	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013311_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	634349.0	153.2 Mbp	0.0	35-301	41.0	78.10382766941007	241.7984910514559	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	537876.0	132.6 Mbp	0.0	35-301	40.0	77.49151262196642	246.504823602466	294	pass	warn	warn	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013312_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	537876.0	133.3 Mbp	0.0	35-301	41.0	78.58011701250925	247.93915698041928	301	pass	fail	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	615305.0	153.1 Mbp	0.0	35-301	40.0	75.51850684587555	248.89517068770772	294	pass	warn	warn	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013313_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	615305.0	154 Mbp	0.0	35-301	41.0	76.79482593868909	250.50889152534108	301	pass	fail	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	819790.0	185.6 Mbp	0.0	35-301	40.0	73.84550088255972	226.38706619988045	254	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013314_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	819790.0	190.9 Mbp	0.0	35-301	41.0	74.30728937062958	233.0334829651496	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013315_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	694286.0	166.1 Mbp	0.0	35-301	41.0	73.95246002110015	239.22226359166106	264	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	654215.0	157.4 Mbp	0.0	35-301	40.0	75.87480511342713	240.6178779147528	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013316_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	654215.0	158.1 Mbp	0.0	35-301	41.0	76.21370098080064	241.85472512858922	284	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013317_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013317_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	681782.0	166.4 Mbp	0.0	35-301	41.0	76.80593956683192	244.1425433643012	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	454778.0	118.5 Mbp	0.0	35-301	41.0	78.76418598764529	260.63949553408474	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013318_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	454778.0	119.6 Mbp	0.0	35-301	41.0	82.56185680174083	263.199861250984	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	475515.0	117.9 Mbp	0.0	35-301	40.0	80.10035801319867	247.9427504915723	294	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013319_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	475515.0	120.2 Mbp	0.0	35-301	41.0	80.60665113511442	253.08021198069463	301	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013320_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013320_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	674525.0	161.1 Mbp	0.0	35-301	41.0	76.4785447739054	238.89191875764428	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	738781.0	173.6 Mbp	0.0	35-301	40.0	74.23386465414616	235.03585365622558	264	pass	warn	warn	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	SRR27013321_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	738781.0	175.1 Mbp	0.0	35-301	41.0	74.88985428927457	237.1463776139343	274	pass	fail	pass	pass	fail	warn	pass	warn	pass	warn	pass
SRR27013322_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	SRR27013322_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	753450.0	181.3 Mbp	0.0	35-301	41.0	72.40756181610983	240.68655584312165	274	pass	pass	pass	pass	fail	warn	pass	warn	pass	warn	pass
