Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(2.0, 1394.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 9.0)	(14.0, 7.0)	(15.0, 14.0)	(16.0, 29.0)	(17.0, 69.0)	(18.0, 176.0)	(19.0, 365.0)	(20.0, 764.0)	(21.0, 1314.0)	(22.0, 2072.0)	(23.0, 3086.0)	(24.0, 4461.0)	(25.0, 6426.0)	(26.0, 9163.0)	(27.0, 12755.0)	(28.0, 16694.0)	(29.0, 22104.0)	(30.0, 28678.0)	(31.0, 36369.0)	(32.0, 46594.0)	(33.0, 59430.0)	(34.0, 78408.0)	(35.0, 107031.0)	(36.0, 155582.0)	(37.0, 235400.0)
SRR27013329_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(2.0, 1380.0)	(3.0, 0.0)	(4.0, 1.0)	(5.0, 2.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 0.0)	(9.0, 1.0)	(10.0, 0.0)	(11.0, 3.0)	(12.0, 8.0)	(13.0, 28.0)	(14.0, 102.0)	(15.0, 382.0)	(16.0, 1062.0)	(17.0, 2386.0)	(18.0, 3915.0)	(19.0, 5449.0)	(20.0, 7242.0)	(21.0, 9243.0)	(22.0, 11621.0)	(23.0, 13906.0)	(24.0, 16724.0)	(25.0, 19775.0)	(26.0, 23039.0)	(27.0, 26934.0)	(28.0, 31727.0)	(29.0, 36951.0)	(30.0, 43769.0)	(31.0, 51868.0)	(32.0, 61890.0)	(33.0, 72745.0)	(34.0, 83930.0)	(35.0, 92664.0)	(36.0, 101089.0)	(37.0, 108558.0)
SRR27013331_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 889345.0)																																			
SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 825307.0)																																			
SRR27013332_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 825307.0)																																			
SRR27013333_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 899788.0)																																			
SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 1071779.0)																																			
SRR27013334_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 1071779.0)																																			
SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 838659.0)																																			
SRR27013335_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 838659.0)																																			
SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(2.0, 952.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 5.0)	(14.0, 10.0)	(15.0, 17.0)	(16.0, 25.0)	(17.0, 55.0)	(18.0, 127.0)	(19.0, 281.0)	(20.0, 655.0)	(21.0, 991.0)	(22.0, 1699.0)	(23.0, 2544.0)	(24.0, 3983.0)	(25.0, 5784.0)	(26.0, 8267.0)	(27.0, 11503.0)	(28.0, 15454.0)	(29.0, 20018.0)	(30.0, 26243.0)	(31.0, 33661.0)	(32.0, 42958.0)	(33.0, 54801.0)	(34.0, 72595.0)	(35.0, 101010.0)	(36.0, 157833.0)	(37.0, 267629.0)
SRR27013336_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(2.0, 923.0)	(3.0, 1.0)	(4.0, 3.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 1.0)	(8.0, 1.0)	(9.0, 2.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 12.0)	(13.0, 50.0)	(14.0, 157.0)	(15.0, 562.0)	(16.0, 2100.0)	(17.0, 4368.0)	(18.0, 7140.0)	(19.0, 9252.0)	(20.0, 11877.0)	(21.0, 14135.0)	(22.0, 16883.0)	(23.0, 19666.0)	(24.0, 22083.0)	(25.0, 25101.0)	(26.0, 28371.0)	(27.0, 31641.0)	(28.0, 35975.0)	(29.0, 41032.0)	(30.0, 46514.0)	(31.0, 53625.0)	(32.0, 61373.0)	(33.0, 69889.0)	(34.0, 77520.0)	(35.0, 81225.0)	(36.0, 82551.0)	(37.0, 85068.0)
SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 660442.0)																																			
SRR27013337_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 660442.0)																																			
SRR27013338_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(2.0, 193.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 2.0)	(16.0, 11.0)	(17.0, 43.0)	(18.0, 122.0)	(19.0, 237.0)	(20.0, 424.0)	(21.0, 690.0)	(22.0, 1103.0)	(23.0, 1627.0)	(24.0, 2457.0)	(25.0, 3458.0)	(26.0, 5212.0)	(27.0, 7497.0)	(28.0, 9841.0)	(29.0, 13406.0)	(30.0, 17716.0)	(31.0, 22912.0)	(32.0, 30014.0)	(33.0, 38863.0)	(34.0, 52833.0)	(35.0, 77731.0)	(36.0, 130776.0)	(37.0, 247221.0)
SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 707159.0)																																			
SRR27013339_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 707159.0)																																			
SRR27013340_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 601787.0)																																			
SRR27013341_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 1098798.0)																																			
SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 869943.0)																																			
SRR27013342_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 869943.0)																																			
SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_1	(30.0, 1039700.0)																																			
SRR27013343_Genome_Sequencing_of_Listeria_monocytogenes_SA_outbreak_2017_2	(30.0, 1039700.0)																																			
