# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-B" "-C" "-O" "-t" "gene" "-g" "ID" "-a" "genome/s_aureus_USA300.gff3" "-o" "counts/counts.txt" "mapped_reads/fm_1.bam" "mapped_reads/fm_2.bam" "mapped_reads/fm_3.bam" "mapped_reads/fm_4.bam" "mapped_reads/m_1.bam" "mapped_reads/m_2.bam" "mapped_reads/m_3.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped_reads/fm_1.bam	mapped_reads/fm_2.bam	mapped_reads/fm_3.bam	mapped_reads/fm_4.bam	mapped_reads/m_1.bam	mapped_reads/m_2.bam	mapped_reads/m_3.bam
gene-SAOUHSC_00680	NC_007795.1	668104	668199	+	96	9	10	2	2	8	11	337
gene-SAOUHSC_00681	NC_007795.1	668245	669465	+	1221	412	113	226	41	114	232	438
gene-SAOUHSC_00682	NC_007795.1	669462	669950	+	489	90	48	86	19	60	41	26
gene-SAOUHSC_00683	NC_007795.1	670049	670738	-	690	0	0	0	0	0	4	4
gene-SAOUHSC_00684	NC_007795.1	670865	671308	+	444	4	0	0	6	0	0	0
gene-SAOUHSC_00685	NC_007795.1	671375	671770	+	396	2	2	0	0	0	0	0
gene-SAOUHSC_00686	NC_007795.1	671908	672207	+	300	2	2	0	6	0	4	0
gene-SAOUHSC_00687	NC_007795.1	672287	672829	+	543	1	0	0	3	0	2	2
gene-SAOUHSC_00688	NC_007795.1	672925	673491	-	567	56	2	10	16	14	22	135
gene-SAOUHSC_00689	NC_007795.1	673493	673951	-	459	4	0	24	8	1	4	34
gene-SAOUHSC_00690	NC_007795.1	673954	674637	-	684	14	2	50	0	12	4	30
gene-SAOUHSC_00691	NC_007795.1	674809	675684	-	876	28	0	60	6	0	8	40
gene-SAOUHSC_00692	NC_007795.1	675903	677534	+	1632	246	80	234	155	158	113	1236
gene-SAOUHSC_00693	NC_007795.1	677531	679204	+	1674	883	405	545	567	548	675	1235
gene-SAOUHSC_00694	NC_007795.1	679331	679774	-	444	21	6	41	10	34	15	509
gene-SAOUHSC_00695	NC_007795.1	680001	680927	+	927	14	23	16	12	26	7	55
gene-SAOUHSC_00696	NC_007795.1	681030	681938	+	909	44	2	16	2	18	14	22
gene-SAOUHSC_00697	NC_007795.1	681973	682260	+	288	4	0	0	0	0	0	0
gene-SAOUHSC_00698	NC_007795.1	682543	684096	+	1554	424	82	147	429	178	210	59
gene-SAOUHSC_00699	NC_007795.1	684182	685555	+	1374	833	90	61	500	423	196	90
gene-SAOUHSC_00700	NC_007795.1	685710	686057	-	348	3	4	8	2	26	9	3
gene-SAOUHSC_00701	NC_007795.1	685991	686608	-	618	2	3	21	3	18	9	5
gene-SAOUHSC_00702	NC_007795.1	686794	687216	-	423	16	9	22	4	18	4	128
gene-SAOUHSC_00703	NC_007795.1	687425	688591	+	1167	711	196	466	346	660	312	252
gene-SAOUHSC_00704	NC_007795.1	688884	689336	+	453	6	0	14	0	0	4	16
gene-SAOUHSC_00705	NC_007795.1	689510	689992	+	483	0	0	0	0	0	0	4
gene-SAOUHSC_00706	NC_007795.1	690242	691006	+	765	42	6	10	16	18	22	28
gene-SAOUHSC_00707	NC_007795.1	691003	691923	+	921	374	24	174	172	100	208	164
gene-SAOUHSC_00708	NC_007795.1	691929	693887	+	1959	1016	110	345	570	376	453	551
gene-SAOUHSC_00710	NC_007795.1	694195	695376	+	1182	18	0	32	12	0	22	34
gene-SAOUHSC_00711	NC_007795.1	695597	696946	+	1350	82	36	175	56	114	54	490
gene-SAOUHSC_00712	NC_007795.1	697168	698007	+	840	28	2	9	1	14	20	118
gene-SAOUHSC_00713	NC_007795.1	698139	699122	+	984	202	80	64	36	126	132	188
gene-SAOUHSC_00714	NC_007795.1	699194	700249	-	1056	67	20	104	18	24	110	699
gene-SAOUHSC_00715	NC_007795.1	700249	700935	-	687	113	48	172	65	70	188	1306
gene-SAOUHSC_00716	NC_007795.1	700910	701383	-	474	213	27	242	71	88	188	822
gene-SAOUHSC_00717	NC_007795.1	701725	702165	-	441	10	4	32	12	4	42	58
gene-SAOUHSC_00718	NC_007795.1	702445	703029	-	585	2	28	14	2	12	4	2
gene-SAOUHSC_00719	NC_007795.1	703128	703841	-	714	40	6	0	21	13	22	30
gene-SAOUHSC_00720	NC_007795.1	703845	704264	-	420	28	6	48	9	16	18	27
gene-SAOUHSC_00721	NC_007795.1	704266	704934	-	669	28	0	15	3	16	8	9
gene-SAOUHSC_00722	NC_007795.1	705285	705878	+	594	12	3	0	2	2	8	4
gene-SAOUHSC_00723	NC_007795.1	705862	707013	+	1152	22	28	2	22	41	14	4
gene-SAOUHSC_00724	NC_007795.1	707013	707621	+	609	8	0	8	2	14	0	1
gene-SAOUHSC_00725	NC_007795.1	707687	707893	+	207	6	6	6	2	5	0	6
gene-SAOUHSC_00726	NC_007795.1	707981	708691	+	711	6	0	12	4	9	12	0
gene-SAOUHSC_00727	NC_007795.1	708675	709679	+	1005	29	3	2	43	46	27	5
gene-SAOUHSC_00728	NC_007795.1	710153	712093	+	1941	1591	1518	2487	2167	1546	1705	6460
gene-SAOUHSC_00729	NC_007795.1	712364	714247	+	1884	218	62	58	30	134	86	119
gene-SAOUHSC_00730	NC_007795.1	714259	716040	+	1782	405	200	243	74	374	428	858
gene-SAOUHSC_00731	NC_007795.1	716262	717239	+	978	40	21	14	20	38	14	126
gene-SAOUHSC_00732	NC_007795.1	717232	718746	+	1515	485	410	230	436	682	266	2252
gene-SAOUHSC_00733	NC_007795.1	718986	720044	+	1059	384	24	152	76	94	34	102
gene-SAOUHSC_00734	NC_007795.1	720395	720937	+	543	100	14	20	14	60	21	112
gene-SAOUHSC_00735	NC_007795.1	721050	721148	+	99	194	0	1	117	89	9	16
gene-SAOUHSC_00736	NC_007795.1	721561	722478	-	918	547	54	260	34	64	426	117
gene-SAOUHSC_00737	NC_007795.1	722569	722670	+	102	0	0	0	0	0	0	0
gene-SAOUHSC_00738	NC_007795.1	722748	724253	-	1506	108	16	24	46	60	54	200
gene-SAOUHSC_00739	NC_007795.1	724594	725094	-	501	4	4	0	2	2	4	52
gene-SAOUHSC_00740	NC_007795.1	725114	725848	-	735	12	18	2	4	14	4	38
gene-SAOUHSC_00741	NC_007795.1	726781	727179	+	399	175	101	119	63	220	79	290
gene-SAOUHSC_00742	NC_007795.1	727082	729247	+	2166	2109	464	1170	585	1645	783	3231
gene-SAOUHSC_00743	NC_007795.1	729365	730336	+	972	23	0	33	3	12	15	191
gene-SAOUHSC_00744	NC_007795.1	730469	730573	+	105	0	0	0	0	0	0	0
gene-SAOUHSC_00745	NC_007795.1	730850	731005	+	156	0	0	0	0	1	0	0
gene-SAOUHSC_00746	NC_007795.1	731044	732015	+	972	6	0	49	2	7	1	21
gene-SAOUHSC_00747	NC_007795.1	732002	732958	+	957	0	0	5	4	3	0	2
gene-SAOUHSC_00748	NC_007795.1	732955	733716	+	762	0	0	0	8	0	0	14
gene-SAOUHSC_00749	NC_007795.1	733835	734863	+	1029	0	0	18	0	0	6	34
gene-SAOUHSC_00751	NC_007795.1	735180	735494	-	315	47	23	28	38	47	29	166
gene-SAOUHSC_00752	NC_007795.1	735512	736435	-	924	96	9	96	135	95	77	323
gene-SAOUHSC_00753	NC_007795.1	736562	737080	-	519	0	0	0	0	4	2	0
gene-SAOUHSC_00754	NC_007795.1	737200	738078	+	879	3	0	6	6	8	1	1
gene-SAOUHSC_00755	NC_007795.1	738232	738552	+	321	133	52	26	13	64	113	5
gene-SAOUHSC_00756	NC_007795.1	738977	740101	+	1125	2	18	6	0	6	12	18
gene-SAOUHSC_00757	NC_007795.1	740290	741516	-	1227	656	86	197	216	216	232	557
gene-SAOUHSC_00758	NC_007795.1	741530	742024	-	495	81	0	50	29	40	65	112
gene-SAOUHSC_00759	NC_007795.1	742042	742803	-	762	41	2	22	32	31	29	73
gene-SAOUHSC_00760	NC_007795.1	742999	744069	-	1071	20	26	136	24	30	36	78
gene-SAOUHSC_00762	NC_007795.1	744387	745442	+	1056	48	28	94	50	60	92	374
gene-SAOUHSC_00763	NC_007795.1	745612	746253	-	642	74	4	14	4	34	12	54
gene-SAOUHSC_00764	NC_007795.1	746397	746780	+	384	17	0	7	6	0	0	89
gene-SAOUHSC_00765	NC_007795.1	747288	748226	+	939	19	8	2	0	34	30	102
gene-SAOUHSC_00766	NC_007795.1	748219	748893	+	675	16	2	4	0	6	22	25
gene-SAOUHSC_00767	NC_007795.1	748954	749526	+	573	8	0	10	16	4	8	264
gene-SAOUHSC_00769	NC_007795.1	749940	752471	+	2532	887	226	1555	559	536	606	3466
gene-SAOUHSC_00770	NC_007795.1	752513	752617	+	105	0	0	4	1	0	2	57
gene-SAOUHSC_00771	NC_007795.1	753021	753896	+	876	52	12	48	28	41	10	183
gene-SAOUHSC_00772	NC_007795.1	754050	754157	+	108	0	1	9	0	0	0	6
gene-SAOUHSC_00773	NC_007795.1	754305	755144	+	840	146	5	116	20	8	0	373
gene-SAOUHSC_00774	NC_007795.1	755318	755968	+	651	0	0	0	0	0	0	0
gene-SAOUHSC_00775	NC_007795.1	755965	756201	+	237	0	0	0	0	0	0	0
gene-SAOUHSC_00776	NC_007795.1	756470	757501	+	1032	128	12	38	82	52	32	81
gene-SAOUHSC_00778	NC_007795.1	757511	758527	+	1017	4	2	18	4	0	6	14
gene-SAOUHSC_00779	NC_007795.1	758680	759654	+	975	165	29	26	68	63	65	181
gene-SAOUHSC_00780	NC_007795.1	759662	762508	+	2847	3627	817	824	1593	1535	1126	1631
gene-SAOUHSC_00781	NC_007795.1	763170	764102	+	933	110	10	4	98	82	82	375
gene-SAOUHSC_00782	NC_007795.1	764108	764947	+	840	40	8	48	10	38	76	126
gene-SAOUHSC_00783	NC_007795.1	764955	765440	+	486	65	4	29	48	17	28	131
gene-SAOUHSC_00784	NC_007795.1	765448	766887	+	1440	329	103	305	129	221	213	227
gene-SAOUHSC_00785	NC_007795.1	766954	767889	+	936	2094	243	1496	785	1877	1278	2765
gene-SAOUHSC_00786	NC_007795.1	768263	768688	-	426	738	27	165	114	95	206	509
gene-SAOUHSC_00787	NC_007795.1	768883	769794	+	912	8	26	52	6	30	18	26
gene-SAOUHSC_00788	NC_007795.1	769791	770786	+	996	104	39	128	88	85	92	142
gene-SAOUHSC_00789	NC_007795.1	770896	771840	+	945	330	56	67	163	176	158	247
gene-SAOUHSC_T0005	NC_007795.1	772155	772226	-	72	2	2	0	0	1	0	0
gene-SAOUHSC_00790	NC_007795.1	772413	773000	+	588	79	4	54	27	70	1	168
gene-SAOUHSC_00792	NC_007795.1	773243	774145	-	903	169	24	76	116	234	44	250
gene-SAOUHSC_00793	NC_007795.1	774848	775477	+	630	27	0	18	22	28	0	24
gene-SAOUHSC_00794	NC_007795.1	776119	777132	+	1014	3321	220	1002	1766	3171	2036	2142
gene-SAOUHSC_00795	NC_007795.1	777185	778195	+	1011	4504	289	1229	2847	2978	1647	1880
gene-SAOUHSC_00796	NC_007795.1	778334	779524	+	1191	4671	226	649	2871	2458	2026	864
gene-SAOUHSC_00797	NC_007795.1	779646	780407	+	762	9341	377	908	3327	4035	3134	1837
gene-SAOUHSC_00798	NC_007795.1	780410	781927	+	1518	4156	369	1576	1960	2615	1962	2818
gene-SAOUHSC_00799	NC_007795.1	782057	783361	+	1305	6520	462	1393	4574	4091	2260	6775
gene-SAOUHSC_00800	NC_007795.1	783701	784159	+	459	12	22	12	18	12	18	6
gene-SAOUHSC_00801	NC_007795.1	784226	784459	+	234	12	0	70	0	4	2	79
gene-SAOUHSC_00802	NC_007795.1	784575	785315	+	741	33	14	102	32	44	28	187
gene-SAOUHSC_00803	NC_007795.1	785349	787721	+	2373	2086	235	828	544	554	608	1767
gene-SAOUHSC_00804	NC_007795.1	787743	788207	+	465	465	70	72	112	162	104	193
gene-SAOUHSC_00806	NC_007795.1	789529	789852	-	324	5	6	0	0	4	0	0
gene-SAOUHSC_00807	NC_007795.1	789868	790014	-	147	3	3	0	0	4	0	0
gene-SAOUHSC_00808	NC_007795.1	790206	790934	-	729	0	0	14	4	4	0	0
gene-SAOUHSC_00809	NC_007795.1	791370	791525	+	156	2	0	0	0	0	0	0
gene-SAOUHSC_00810	NC_007795.1	791533	792054	+	522	1	0	22	0	0	0	0
gene-SAOUHSC_00811	NC_007795.1	792193	792723	+	531	0	0	10	0	0	4	23
gene-SAOUHSC_00812	NC_007795.1	792986	795769	+	2784	785393	43212	17979	368373	454807	205550	95300
gene-SAOUHSC_00816	NC_007795.1	797866	798888	+	1023	2	0	21	0	0	0	0
gene-SAOUHSC_00817	NC_007795.1	799223	799693	+	471	0	0	8	0	0	0	0
gene-SAOUHSC_00818	NC_007795.1	800034	800720	+	687	0	0	0	2	2	0	0
gene-SAOUHSC_00819	NC_007795.1	801077	801277	+	201	134	42	66	52	72	38	412
gene-SAOUHSC_00820	NC_007795.1	801773	801991	-	219	0	0	0	0	0	0	0
gene-SAOUHSC_00821	NC_007795.1	802053	802337	-	285	4	0	2	2	5	0	3
gene-SAOUHSC_00822	NC_007795.1	802425	802994	-	570	2	0	0	8	1	2	1
gene-SAOUHSC_00823	NC_007795.1	803182	803370	-	189	2	3	26	3	0	5	1
gene-SAOUHSC_00824	NC_007795.1	803399	803659	-	261	0	6	8	1	4	12	2
gene-SAOUHSC_00825	NC_007795.1	804000	804203	+	204	44	72	214	45	49	101	72
gene-SAOUHSC_00826	NC_007795.1	804200	804436	-	237	33	47	190	37	48	47	34
gene-SAOUHSC_00827	NC_007795.1	804682	805242	+	561	0	2	2	2	0	4	52
gene-SAOUHSC_00828	NC_007795.1	805315	805932	-	618	2	6	16	12	1	0	11
gene-SAOUHSC_00830	NC_007795.1	806087	806581	-	495	60	18	114	54	47	30	941
gene-SAOUHSC_00831	NC_007795.1	806980	807402	-	423	13	0	12	6	3	0	2
gene-SAOUHSC_00832	NC_007795.1	807550	808266	+	717	11	6	0	12	11	4	44
gene-SAOUHSC_00833	NC_007795.1	808349	808888	+	540	20	8	16	4	16	18	111
gene-SAOUHSC_00834	NC_007795.1	809038	809358	-	321	130	0	12	14	28	24	76
gene-SAOUHSC_00835	NC_007795.1	809502	809858	+	357	0	0	10	0	0	1	12
gene-SAOUHSC_00836	NC_007795.1	810016	810396	+	381	210	2	10	84	166	69	71
gene-SAOUHSC_00837	NC_007795.1	810460	810573	+	114	0	0	0	0	0	10	11
gene-SAOUHSC_00838	NC_007795.1	810575	811453	+	879	12	0	1	23	36	24	29
gene-SAOUHSC_00839	NC_007795.1	811872	811985	+	114	39	20	7	61	41	17	9
gene-SAOUHSC_00840	NC_007795.1	812195	812581	+	387	4	0	22	0	4	7	4
gene-SAOUHSC_00841	NC_007795.1	812574	812870	+	297	6	2	28	2	23	7	1
gene-SAOUHSC_00842	NC_007795.1	813120	814145	+	1026	97	54	63	59	135	32	278
gene-SAOUHSC_00843	NC_007795.1	814138	814833	+	696	164	42	50	274	400	102	199
gene-SAOUHSC_00844	NC_007795.1	814851	815672	+	822	25	6	76	0	18	26	74
gene-SAOUHSC_00845	NC_007795.1	816026	816220	+	195	8	0	0	4	2	2	0
gene-SAOUHSC_00846	NC_007795.1	816453	817304	-	852	52	16	34	32	69	58	116
gene-SAOUHSC_00847	NC_007795.1	817632	818393	+	762	31	6	12	1	10	6	34
gene-SAOUHSC_00848	NC_007795.1	818491	819798	+	1308	3010	476	580	295	1297	983	3837
gene-SAOUHSC_00849	NC_007795.1	819904	821154	+	1251	16640	1966	1770	2772	6009	2472	13125
gene-SAOUHSC_00850	NC_007795.1	821144	821608	+	465	1033	238	246	178	342	329	535
gene-SAOUHSC_00851	NC_007795.1	821759	823156	+	1398	6009	1173	1541	1098	6260	1048	6301
gene-SAOUHSC_00852	NC_007795.1	823343	823480	+	138	0	8	0	1	0	0	0
gene-SAOUHSC_00853	NC_007795.1	823486	823800	-	315	0	12	6	0	0	0	0
gene-SAOUHSC_00854	NC_007795.1	824165	825205	+	1041	484	128	108	44	231	166	242
gene-SAOUHSC_00855	NC_007795.1	825219	826286	+	1068	641	646	40	206	924	1552	311
gene-SAOUHSC_00857	NC_007795.1	826353	826451	+	99	0	0	0	0	0	0	9
gene-SAOUHSC_00858	NC_007795.1	826499	827347	+	849	36	0	24	0	18	2	29
gene-SAOUHSC_00859	NC_007795.1	827360	828187	+	828	399	130	121	170	255	119	548
gene-SAOUHSC_00860	NC_007795.1	828214	829533	+	1320	281	35	134	47	98	137	410
gene-SAOUHSC_00861	NC_007795.1	829617	830534	+	918	1241	228	176	654	852	469	1201
gene-SAOUHSC_00862	NC_007795.1	830664	831047	+	384	0	10	25	4	16	4	11
gene-SAOUHSC_00863	NC_007795.1	831126	831392	-	267	0	0	5	0	0	0	6
gene-SAOUHSC_00864	NC_007795.1	831490	831924	+	435	12	0	5	4	2	6	10
gene-SAOUHSC_00865	NC_007795.1	831924	832703	+	780	20	5	2	0	8	14	85
gene-SAOUHSC_00866	NC_007795.1	832811	833695	+	885	86	120	106	84	128	74	475
gene-SAOUHSC_00867	NC_007795.1	833949	834059	+	111	0	0	0	0	0	0	0
gene-SAOUHSC_00868	NC_007795.1	834107	834259	+	153	4	0	0	0	0	0	0
gene-SAOUHSC_00869	NC_007795.1	834275	835732	+	1458	1334	293	728	335	741	533	1663
gene-SAOUHSC_00870	NC_007795.1	835729	836943	+	1215	545	218	433	149	478	236	631
gene-SAOUHSC_00871	NC_007795.1	836961	837197	+	237	439	150	206	130	442	234	342
gene-SAOUHSC_00872	NC_007795.1	837194	838369	+	1176	516	224	464	141	366	176	575
gene-SAOUHSC_00873	NC_007795.1	838632	838874	-	243	14	4	0	2	14	5	304
gene-SAOUHSC_00874	NC_007795.1	838975	839298	+	324	0	0	0	0	0	0	0
gene-SAOUHSC_00875	NC_007795.1	839357	840421	-	1065	1425	369	90	150	520	235	766
gene-SAOUHSC_00876	NC_007795.1	840738	840974	+	237	54	7	0	4	38	5	2
gene-SAOUHSC_00877	NC_007795.1	840987	841346	+	360	199	47	126	96	200	109	386
gene-SAOUHSC_00878	NC_007795.1	841800	843008	+	1209	426	66	304	246	249	172	724
gene-SAOUHSC_00879	NC_007795.1	843139	844614	+	1476	144	22	50	246	223	125	296
gene-SAOUHSC_00880	NC_007795.1	845025	846341	+	1317	1076	191	986	58	546	355	2493
gene-SAOUHSC_00881	NC_007795.1	846360	846734	+	375	402	63	281	41	162	130	1194
gene-SAOUHSC_00882	NC_007795.1	846790	847944	-	1155	14	0	30	4	20	8	28
gene-SAOUHSC_00883	NC_007795.1	848193	848549	-	357	102	7	90	34	106	48	386
gene-SAOUHSC_00884	NC_007795.1	848527	848820	-	294	129	40	238	41	182	102	438
gene-SAOUHSC_00885	NC_007795.1	848820	849299	-	480	172	71	315	71	143	114	737
gene-SAOUHSC_00886	NC_007795.1	849301	850797	-	1497	688	140	536	464	605	406	1595
gene-SAOUHSC_00887	NC_007795.1	850790	851119	-	330	345	38	101	169	307	133	506
gene-SAOUHSC_00888	NC_007795.1	851131	851559	-	429	155	25	68	16	125	77	351
gene-SAOUHSC_00889	NC_007795.1	851552	853957	-	2406	1399	234	622	580	748	582	1913
gene-SAOUHSC_00890	NC_007795.1	854088	854471	-	384	6	12	0	10	11	13	48
gene-SAOUHSC_00891	NC_007795.1	854535	855128	+	594	140	26	10	76	124	57	110
gene-SAOUHSC_00892	NC_007795.1	855577	855921	+	345	50	10	14	18	28	24	205
gene-SAOUHSC_00893	NC_007795.1	856283	857410	+	1128	343	15	34	133	172	24	122
gene-SAOUHSC_00894	NC_007795.1	857718	858908	+	1191	8250	1042	985	4269	6377	2131	5955
gene-SAOUHSC_00895	NC_007795.1	859017	860261	+	1245	74568	7458	27067	23973	36253	14390	50958
gene-SAOUHSC_00896	NC_007795.1	860487	860678	+	192	306	1	27	32	26	71	245
gene-SAOUHSC_00897	NC_007795.1	860764	861693	-	930	76	47	51	13	61	28	121
gene-SAOUHSC_00898	NC_007795.1	861935	863314	-	1380	2165	440	1394	1235	1882	971	5236
gene-SAOUHSC_00899	NC_007795.1	863304	864509	-	1206	670	128	280	270	621	461	1890
gene-SAOUHSC_00900	NC_007795.1	864860	866191	+	1332	546	214	160	408	488	344	1656
gene-SAOUHSC_00901	NC_007795.1	866516	867091	+	576	14	36	64	0	16	19	19
gene-SAOUHSC_00902	NC_007795.1	867096	867620	+	525	51	45	62	12	42	30	43
gene-SAOUHSC_00903	NC_007795.1	867744	868211	+	468	30	0	8	0	3	24	16
gene-SAOUHSC_00904	NC_007795.1	868371	871847	+	3477	287	94	245	47	161	384	907
gene-SAOUHSC_00905	NC_007795.1	871848	875501	+	3654	1096	218	284	1027	996	995	2112
gene-SAOUHSC_00906	NC_007795.1	875667	876569	+	903	602	86	130	174	303	308	671
gene-SAOUHSC_00907	NC_007795.1	876898	877287	+	390	0	0	0	12	4	0	5
gene-SAOUHSC_00908	NC_007795.1	877458	878774	-	1317	2453	383	268	1362	3125	778	4110
gene-SAOUHSC_00909	NC_007795.1	878826	879650	-	825	76	74	55	46	119	60	281
gene-SAOUHSC_00910	NC_007795.1	879806	880072	+	267	1159	376	100	1698	2210	46	233
gene-SAOUHSC_00911	NC_007795.1	880619	882433	+	1815	18	0	0	0	6	2	10
gene-SAOUHSC_00912	NC_007795.1	882636	885245	+	2610	23726	1756	1340	3170	2843	820	10156
gene-SAOUHSC_00913	NC_007795.1	885304	886173	-	870	3	0	10	7	5	0	0
gene-SAOUHSC_00914	NC_007795.1	886283	887428	+	1146	10	0	0	2	0	0	0
gene-SAOUHSC_00915	NC_007795.1	887412	888053	+	642	0	0	0	0	0	2	0
gene-SAOUHSC_00916	NC_007795.1	888046	889164	+	1119	0	0	0	0	0	0	0
gene-SAOUHSC_00917	NC_007795.1	889148	889663	+	516	0	0	0	0	0	0	0
gene-SAOUHSC_00919	NC_007795.1	890665	890850	-	186	16	8	8	10	4	0	133
gene-SAOUHSC_00920	NC_007795.1	891145	892086	+	942	52	14	160	30	19	20	305
gene-SAOUHSC_00921	NC_007795.1	892098	893342	+	1245	482	66	96	230	271	132	1016
gene-SAOUHSC_00922	NC_007795.1	893397	893768	-	372	0	0	0	0	0	0	0
gene-SAOUHSC_00923	NC_007795.1	894011	894937	+	927	32	8	115	39	46	29	57
gene-SAOUHSC_00924	NC_007795.1	894937	896007	+	1071	600	88	550	278	312	268	1143
gene-SAOUHSC_00925	NC_007795.1	896024	897106	+	1083	570	60	715	200	153	144	1652
gene-SAOUHSC_00926	NC_007795.1	897096	898037	+	942	716	152	457	418	654	504	1284
gene-SAOUHSC_00927	NC_007795.1	898056	899711	+	1656	303	100	202	260	396	202	606
gene-SAOUHSC_00928	NC_007795.1	899923	901638	+	1716	0	0	0	0	3	0	0
gene-SAOUHSC_00929	NC_007795.1	901689	902675	+	987	0	4	0	8	1	8	6
gene-SAOUHSC_00930	NC_007795.1	902678	903658	+	981	0	2	10	0	0	6	9
gene-SAOUHSC_00931	NC_007795.1	903651	904613	+	963	2	0	5	4	0	0	0
gene-SAOUHSC_00932	NC_007795.1	904625	905506	+	882	0	0	0	0	2	0	4
gene-SAOUHSC_00933	NC_007795.1	905548	906537	-	990	118	18	24	38	90	50	190
gene-SAOUHSC_00934	NC_007795.1	906832	907227	+	396	7677	3516	4634	6589	4957	7349	25701
gene-SAOUHSC_00935	NC_007795.1	907598	908317	+	720	632	246	634	431	745	254	847
gene-SAOUHSC_00936	NC_007795.1	908438	909424	+	987	0	0	0	0	2	0	0
gene-SAOUHSC_00937	NC_007795.1	909472	911280	+	1809	80	2	52	26	28	22	140
gene-SAOUHSC_00938	NC_007795.1	911740	912546	-	807	101	28	94	50	150	69	245
gene-SAOUHSC_00939	NC_007795.1	912569	912886	-	318	47	22	41	9	56	38	146
gene-SAOUHSC_00940	NC_007795.1	913038	913631	-	594	4	0	0	0	6	10	34
gene-SAOUHSC_00941	NC_007795.1	913817	914164	+	348	6	0	2	0	0	0	57
gene-SAOUHSC_00942	NC_007795.1	914181	914816	+	636	184	270	658	144	180	307	278
gene-SAOUHSC_00943	NC_007795.1	914833	915642	+	810	215	67	219	115	167	166	707
gene-SAOUHSC_00944	NC_007795.1	915639	916493	+	855	58	6	20	12	103	92	298
gene-SAOUHSC_00945	NC_007795.1	916514	917899	+	1386	866	244	867	428	473	392	783
gene-SAOUHSC_00946	NC_007795.1	917909	919753	+	1845	370	130	462	165	230	276	481
gene-SAOUHSC_00947	NC_007795.1	920031	920801	+	771	10	0	37	19	19	17	90
gene-SAOUHSC_00948	NC_007795.1	920996	922081	-	1086	142	70	234	38	81	48	194
gene-SAOUHSC_00949	NC_007795.1	922423	923991	+	1569	82	8	102	14	70	34	122
gene-SAOUHSC_00950	NC_007795.1	924133	924891	+	759	2	0	0	4	2	6	3
gene-SAOUHSC_00951	NC_007795.1	925085	925594	+	510	54	4	46	28	26	10	72
gene-SAOUHSC_00952	NC_007795.1	925707	926915	-	1209	437	160	201	83	226	136	509
gene-SAOUHSC_00953	NC_007795.1	926875	928050	-	1176	422	118	79	150	352	158	556
gene-SAOUHSC_00954	NC_007795.1	928483	929964	+	1482	106	25	194	68	66	110	52
gene-SAOUHSC_00955	NC_007795.1	929948	930208	+	261	0	6	0	0	8	0	0
gene-SAOUHSC_00956	NC_007795.1	930208	931770	+	1563	114	46	76	100	95	71	16
gene-SAOUHSC_00957	NC_007795.1	932072	932875	+	804	111	33	16	70	20	13	164
gene-SAOUHSC_00958	NC_007795.1	933094	935418	+	2325	16	2	10	6	18	13	58
gene-SAOUHSC_00959	NC_007795.1	935435	936793	+	1359	124	64	94	30	50	42	228
gene-SAOUHSC_00960	NC_007795.1	936932	938443	+	1512	16	14	136	14	12	88	150
gene-SAOUHSC_T00049	NC_007795.1	938623	938711	-	89	0	6	0	8	0	0	4
gene-SAOUHSC_T0008	NC_007795.1	938714	938788	-	75	0	0	0	8	0	0	4
gene-SAOUHSC_00961	NC_007795.1	938930	939460	-	531	2	0	0	10	0	0	12
gene-SAOUHSC_00962	NC_007795.1	939709	939927	+	219	1	0	24	0	0	0	12
gene-SAOUHSC_00963	NC_007795.1	940008	940994	-	987	3	6	32	0	2	2	11
gene-SAOUHSC_00964	NC_007795.1	941193	941369	+	177	46	29	42	14	55	30	20
gene-SAOUHSC_00965	NC_007795.1	941384	941986	+	603	42	44	47	10	69	29	21
gene-SAOUHSC_00966	NC_007795.1	942257	942364	+	108	12	0	34	0	8	10	24
gene-SAOUHSC_00967	NC_007795.1	942903	943004	+	102	0	0	0	0	0	0	0
gene-SAOUHSC_00968	NC_007795.1	943330	945294	+	1965	0	0	44	4	0	0	10
gene-SAOUHSC_00969	NC_007795.1	945297	945617	+	321	0	0	12	0	0	0	0
gene-SAOUHSC_00970	NC_007795.1	945614	946255	+	642	0	0	0	0	0	0	0
gene-SAOUHSC_00971	NC_007795.1	946343	946633	-	291	50	0	20	6	23	0	20
gene-SAOUHSC_00972	NC_007795.1	946912	947199	+	288	0	0	0	0	0	0	0
gene-SAOUHSC_00975	NC_007795.1	948776	949132	-	357	0	0	8	0	0	1	0
gene-SAOUHSC_00976	NC_007795.1	949716	950579	+	864	0	0	0	0	0	0	4
gene-SAOUHSC_00977	NC_007795.1	950625	950756	-	132	12	0	22	4	4	9	0
gene-SAOUHSC_00978	NC_007795.1	950820	951110	-	291	24	0	29	8	2	14	0
gene-SAOUHSC_00979	NC_007795.1	951200	951751	+	552	2	0	0	0	0	0	4
gene-SAOUHSC_00980	NC_007795.1	951802	952740	-	939	92	9	26	44	48	53	149
gene-SAOUHSC_00981	NC_007795.1	952891	952995	+	105	0	1	0	0	0	1	2
gene-SAOUHSC_00982	NC_007795.1	953072	954283	+	1212	54	64	26	12	50	14	56
gene-SAOUHSC_00983	NC_007795.1	954270	955943	+	1674	199	205	198	182	196	242	351
